id_no2,id_trafico,distance_m,latitud_no2,longitud_no2,latitud_trafico,longitud_trafico
28079004,10647,71,40.4238823,-3.7122567,40.4238,-3.7139
28079004,4333,71,40.4238823,-3.7122567,40.4222,-3.7128
28079004,4313,71,40.4238823,-3.7122567,40.4224,-3.7126
28079004,4285,71,40.4238823,-3.7122567,40.4232,-3.7115
28079004,3732,71,40.4238823,-3.7122567,40.4235,-3.7129
28079004,10885,71,40.4238823,-3.7122567,40.4223,-3.713
28079004,4284,71,40.4238823,-3.7122567,40.4242,-3.7117
28079004,4283,71,40.4238823,-3.7122567,40.4247,-3.7111
28079004,4286,71,40.4238823,-3.7122567,40.424,-3.7114
28079004,4353,71,40.4238823,-3.7122567,40.4253,-3.7124
28079008,4027,84,40.4215533,-3.6823158,40.4211,-3.6834
28079008,4048,84,40.4215533,-3.6823158,40.421,-3.6835
28079008,4028,84,40.4215533,-3.6823158,40.4221,-3.6818
28079008,4026,84,40.4215533,-3.6823158,40.4214,-3.6813
28079008,4022,84,40.4215533,-3.6823158,40.4214,-3.6813
28079011,3911,63,40.4514734,-3.6773491,40.4502,-3.6777
28079011,3915,63,40.4514734,-3.6773491,40.4509,-3.6777
28079011,3916,63,40.4514734,-3.6773491,40.4516,-3.6786
28079011,3914,63,40.4514734,-3.6773491,40.4516,-3.6768
28079011,3917,63,40.4514734,-3.6773491,40.4517,-3.6782
28079011,3913,63,40.4514734,-3.6773491,40.4531,-3.6775
28079011,5547,63,40.4514734,-3.6773491,40.4527,-3.6774
28079011,3910,63,40.4514734,-3.6773491,40.4517,-3.6757
28079016,5939,89,40.4400457,-3.6392422,40.4389,-3.639
28079016,3791,89,40.4400457,-3.6392422,40.4405,-3.6399
28079035,4301,22,40.4192091,-3.7031662,40.4202,-3.7041
28079035,3731,22,40.4192091,-3.7031662,40.4194,-3.7032
28079035,4303,22,40.4192091,-3.7031662,40.4194,-3.7028
28079035,3730,22,40.4192091,-3.7031662,40.42,-3.702
28079036,10889,36,40.4079517,-3.6453104,40.4074,-3.647
28079036,6118,36,40.4079517,-3.6453104,40.4072,-3.6447
28079036,6119,36,40.4079517,-3.6453104,40.4071,-3.6446
28079036,6116,36,40.4079517,-3.6453104,40.4084,-3.6463
28079036,10890,36,40.4079517,-3.6453104,40.4082,-3.6451
28079036,6123,36,40.4079517,-3.6453104,40.4085,-3.6445
28079038,3411,69,40.4455439,-3.7071303,40.4461,-3.7074
28079038,4472,69,40.4455439,-3.7071303,40.4451,-3.7086
28079038,3513,69,40.4455439,-3.7071303,40.4471,-3.7069
28079039,5414,61,40.4782322,-3.7115364,40.4774,-3.7131
28079039,5437,61,40.4782322,-3.7115364,40.4768,-3.7118
28079039,4555,61,40.4782322,-3.7115364,40.4775,-3.7121
28079039,5416,61,40.4782322,-3.7115364,40.478,-3.711
28079039,5415,61,40.4782322,-3.7115364,40.4779,-3.7111
28079039,5422,61,40.4782322,-3.7115364,40.4786,-3.7124
28079039,5421,61,40.4782322,-3.7115364,40.4787,-3.7125
28079040,5783,166,40.3881478,-3.6515286,40.388,-3.6531
28079040,5784,166,40.3881478,-3.6515286,40.3867,-3.6519
28079047,10814,166,40.3980991,-3.6868138,40.3993,-3.6879
28079047,4129,166,40.3980991,-3.6868138,40.3992,-3.6858
28079048,4469,111,40.4398904,-3.6903729,40.4404,-3.6916
28079048,4461,111,40.4398904,-3.6903729,40.4399,-3.6914
28079048,7071,111,40.4398904,-3.6903729,40.4392,-3.6911
28079048,4437,111,40.4398904,-3.6903729,40.4391,-3.691
28079050,5465,148,40.4655841,-3.6887449,40.4643,-3.6891
28079050,5515,148,40.4655841,-3.6887449,40.4664,-3.6872
28079056,10250,24,40.3850336,-3.7187679,40.3852,-3.7199
28079056,10580,24,40.3850336,-3.7187679,40.3852,-3.7198
28079056,10614,24,40.3850336,-3.7187679,40.3858,-3.7191
28079056,5090,24,40.3850336,-3.7187679,40.3843,-3.7192
28079056,5091,24,40.3850336,-3.7187679,40.3843,-3.7197
28079056,10613,24,40.3850336,-3.7187679,40.3864,-3.7195
28079056,10615,24,40.3850336,-3.7187679,40.3858,-3.7197
28079056,11007,24,40.3850336,-3.7187679,40.3852,-3.7189
28079056,10982,24,40.3850336,-3.7187679,40.3843,-3.7197
28079056,5084,24,40.3850336,-3.7187679,40.3836,-3.718
28079056,6823,24,40.3850336,-3.7187679,40.3847,-3.7177
28079056,6822,24,40.3850336,-3.7187679,40.3847,-3.7178
28079056,10332,24,40.3850336,-3.7187679,40.3846,-3.7177
28079056,10848,24,40.3850336,-3.7187679,40.3848,-3.7182
28079056,10849,24,40.3850336,-3.7187679,40.3858,-3.7174
28079056,11006,24,40.3850336,-3.7187679,40.3859,-3.7172
