id_trafico,start,end
10250,2018-12,2024-12
10332,2018-12,2018-12
10580,2020-12,2024-12
10613,2020-12,2024-12
10614,2020-12,2024-12
10615,2020-12,2024-12
10647,2020-12,2024-12
10814,2021-12,2024-12
10885,2021-12,2024-12
10889,2021-12,2024-12
10890,2021-12,2024-12
10982,2022-12,2024-12
11006,2022-12,2024-12
11007,2022-12,2024-12
3411,2018-12,2024-12
3513,2018-12,2024-12
3730,2018-12,2024-12
3731,2018-12,2024-12
3732,2018-12,2020-12
3791,2018-12,2024-12
3910,2018-12,2024-12
3911,2018-12,2024-12
3913,2018-12,2024-12
3914,2018-12,2024-12
3915,2018-12,2024-12
3916,2018-12,2024-12
3917,2018-12,2024-12
4022,2018-12,2024-12
4026,2018-12,2024-12
4027,2018-12,2024-12
4028,2018-12,2024-12
4048,2018-12,2024-12
4129,2018-12,2024-12
4283,2018-12,2024-12
4284,2018-12,2024-12
4285,2018-12,2024-12
4286,2018-12,2024-12
4301,2018-12,2024-12
4303,2018-12,2024-12
4313,2018-12,2024-12
4333,2018-12,2018-12
4353,2018-12,2024-12
4437,2018-12,2024-12
4461,2018-12,2024-12
4469,2018-12,2018-12
4472,2018-12,2024-12
4555,2018-12,2024-12
5084,2018-12,2024-12
5090,2018-12,2024-12
5091,2018-12,2024-12
5414,2018-12,2024-12
5415,2018-12,2024-12
5416,2018-12,2024-12
5421,2018-12,2024-12
5422,2018-12,2024-12
5437,2018-12,2024-12
5465,2018-12,2024-12
5515,2018-12,2024-12
5547,2018-12,2024-12
5783,2018-12,2024-12
5784,2018-12,2024-12
5939,2018-12,2024-12
6116,2018-12,2024-12
6118,2018-12,2024-12
6119,2018-12,2024-12
6123,2018-12,2024-12
6822,2018-12,2024-12
6823,2018-12,2024-12
7071,2018-12,2024-12
